id,max_seq_length,model_type,max_epochs,train_epochs,batch_size,warmup_epoch_count,max_learn_rate,end_learn_rate,train_f1,test_f1,test_f1_N,test_f1_C,test_f1_P
0,512,TD_Dense,100,18,10,10,1e-05,1e-06,0.7405128864406937,0.6506474438183867,0.7425600948958586,0.6559936307937277,0.5533886057655738
1,512,TD_Dense,100,17,10,15,1e-05,1e-06,0.7629530344284173,0.6932183917772036,0.7632055852644087,0.6892692751957559,0.6271803148714464
2,512,TD_Dense,100,18,10,20,1e-05,1e-06,0.19581679146286754,0.1967804589816656,0.07090162300115645,0.14656498198748602,0.3728747719563543
3,512,1D_CNN,100,17,10,10,1e-05,1e-06,0.7427104215623498,0.6717021101183521,0.7485377736161436,0.6407944527125782,0.6257741040263345
4,512,1D_CNN,100,16,10,15,1e-05,1e-06,0.7155431183926289,0.6894329524282014,0.7581300659184307,0.6589973751579766,0.6511714162081969
5,512,1D_CNN,100,20,10,20,1e-05,1e-06,0.6740873950573757,0.6523183768710893,0.7498908646430547,0.6151245551601424,0.5919397108100708
6,512,Stacked_LSTM,100,63,10,10,1e-05,1e-06,0.48856182841324053,0.47978691239503285,0.5450875980966724,0.4166101694915254,0.47766296959690074
7,512,Stacked_LSTM,100,24,10,15,1e-05,1e-06,0.6930526147313888,0.6031249360984017,0.6928164522947942,0.6222222222222223,0.4943361337781886
8,512,Stacked_LSTM,100,21,10,20,1e-05,1e-06,0.72528070669202,0.633118941159263,0.6787921279613899,0.6244411872480763,0.596123508268323
9,512,TD_Dense,100,18,10,10,1e-05,1e-07,0.7173926626819848,0.653785073428254,0.7467306556193338,0.6516881813208814,0.5629363833445467
10,512,TD_Dense,100,20,10,15,1e-05,1e-07,0.16385932950828688,0.17647608991932226,0.053102096700582566,0.3679471962481545,0.10837897680922969
11,512,TD_Dense,100,46,10,20,1e-05,1e-07,0.6392119284230587,0.5249144209135599,0.6785613760750586,0.41685423728813564,0.4793276493774853
12,512,1D_CNN,100,23,10,10,1e-05,1e-07,0.748406295954807,0.6366509780534076,0.732048840595945,0.6213344194312796,0.5565696741329984
13,512,1D_CNN,100,15,10,15,1e-05,1e-07,0.708886500195416,0.6847094656161161,0.7598259044235836,0.6567526248625974,0.6375498675621676
14,512,1D_CNN,100,29,10,20,1e-05,1e-07,0.21869497168200705,0.2201011054823269,0.22108449405254565,0.43921882239443505,0.0
15,512,Stacked_LSTM,100,48,10,10,1e-05,1e-07,0.4848062311634358,0.4800201594762244,0.5531761824582887,0.39979858298877313,0.4870857129816114
16,512,Stacked_LSTM,100,19,10,15,1e-05,1e-07,0.6898441689886973,0.610497044173873,0.6929523387602909,0.6004795258938092,0.5380592678675189
17,512,Stacked_LSTM,100,24,10,20,1e-05,1e-07,0.4637800639136877,0.4569529772543068,0.5496465565765332,0.34492149335713024,0.47629088182925683
